GUI.show_tooltip                            -- Begin --                            | ('Filter will be reflected in Test cases list below.',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.get_test_suites                         -- Begin --                            | ()
GUI.get_test_suites                         -- Function executed successfully  --  | ['CG3388_0x10', 'CG3388_0x11', 'CG3388_0x14', 'CG3388_0x19', 'CG3388_0x22', 'CG3388_0x27', 'CG3388_0x28', 'CG3388_0x2A', 'CG3388_0x2C', 'CG3388_0x2E', 'CG3388_0x2F', 'CG3388_0x31', 'CG3388_0x3E', 'CG3388_0x85', 'CG3388_Multiple_Tester', 'CG3388_Scanner', 'CG3388_TransportLayer', 'CG3531_0x2F_DeviceLimitsExceeded', 'CG3531_0x31_DeviceLimitsExceeded', 'CG3531_Automodified_NVRAM', 'CG3531_COMMON_DIDs', 'CG3531_DiagnosticFaultDetection', 'CG3531_NetworkSupervision', 'CG3531_RID_0200_0204_0205_0272', 'CG3531_RID_0209_FF00', 'CG3531_RID_021E', 'CG3531_RID_023A_023B', 'CG3531_RID_02C0', 'CG3531_RID_02C3', 'CG3531_RID_0300', 'CG3531_RID_03BC', 'CG3531_RID_03C2', 'CG3531_RID_FF01', 'CG3531_SecurityAccess', 'CG3687_Comp_Hand', 'CG3687_Diagnostic_Address_Support', 'CG3687_ECU_Proc_Modes', 'CG3687_Gen_Boot_Requirements', 'CG3687_Proc_Modes_Details', 'CG3687_Programming_Error_Codes', 'CG3687_Robustness', 'CG4577_RationalityApplication', 'CG4577_RationalityInfrastructure', 'DPS', '__Examples__']
GUI.show_tooltip                            -- Begin --                            | ('Directory containing report folders to be analyzed',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.show_tooltip                            -- Begin --                            | ('Generated HTML report is going to be saved to this directory',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.show_tooltip                            -- Begin --                            | ('Directory containing binary files',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.show_tooltip                            -- Begin --                            | ('Directory containing binary files',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.show_tooltip                            -- Begin --                            | ('Directory containing binary files',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.show_tooltip                            -- Begin --                            | ('Directory containing binary files',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.update_test_cases                       -- Begin --                            | ()
GUI.get_files                               -- Begin --                            | ()
GUI.get_files                               -- Function executed successfully  --  | ['0-Before_DPS_Flash.py', '1-After_DPS_Flash.py', '2-Clear_SBAT_MEC.py', 'config.ini']
GUI.update_test_cases                       -- Function executed successfully  --  | None
GUI.update_config_window                    -- Begin --                            | ()
GUI.update_config_window                    -- Function executed successfully  --  | None
<<<<<<< HEAD
GUI.browse_cg_file                          -- Begin --                            | ('CG3687',)
GUI.browse_cg_file                          -- Function executed successfully  --  | C:\Users\manuel.medina\Workspace\Report\CG3388_Report_PTM.xlsx
GUI.update_config_window                    -- Begin --                            | ()
GUI.update_config_window                    -- Function executed successfully  --  | None
GUI.set_default                             -- Begin --                            | ()
GUI.set_default                             -- Function executed successfully  --  | None
GUI.checkbox_toggle                         -- Begin --                            | ()
GUI.get_test_suites                         -- Begin --                            | ()
GUI.get_test_suites                         -- Function executed successfully  --  | ['CG3687_Comp_Hand', 'CG3687_Diagnostic_Address_Support', 'CG3687_ECU_Proc_Modes', 'CG3687_Gen_Boot_Requirements', 'CG3687_Proc_Modes_Details', 'CG3687_Programming_Error_Codes', 'CG3687_Robustness']
GUI.update_test_cases                       -- Begin --                            | ()
GUI.get_files                               -- Begin --                            | ()
GUI.get_files                               -- Function executed successfully  --  | ['CG3687_comp_hand_1_to_25_PTM.py', 'CG3687_comp_hand_26_to_49_PTM.py', 'CG3687_comp_hand_50_to_72_PTM.py', 'CG3687_comp_hand_73_to_95_PTM.py']
GUI.update_test_cases                       -- Function executed successfully  --  | None
GUI.checkbox_toggle                         -- Function executed successfully  --  | None
GUI.update_test_cases                       -- Begin --                            | ()
GUI.get_files                               -- Begin --                            | ()
GUI.get_files                               -- Function executed successfully  --  | ['config.ini', 'Programming_Error_Codes_102_PTM.py', 'Programming_Error_Codes_103_to_115_PTM.py', 'Programming_Error_Codes_10_PTM.py', 'Programming_Error_Codes_116_PTM.py', 'Programming_Error_Codes_117_to_129_PTM.py', 'Programming_Error_Codes_11_to_19_PTM.py', 'Programming_Error_Codes_130_PTM.py', 'Programming_Error_Codes_131_to_143_PTM.py', 'Programming_Error_Codes_144_PTM.py', 'Programming_Error_Codes_145_to_157_PTM.py', 'Programming_Error_Codes_158_PTM.py', 'Programming_Error_Codes_159_to_171_PTM.py', 'Programming_Error_Codes_172_PTM.py', 'Programming_Error_Codes_173_to_185_PTM.py', 'Programming_Error_Codes_186_PTM.py', 'Programming_Error_Codes_1_to_9_PTM.py', 'Programming_Error_Codes_20_PTM.py', 'Programming_Error_Codes_212_to_225_PTM.py', 'Programming_Error_Codes_21_to_34_PTM.py', 'Programming_Error_Codes_226_PTM.py', 'Programming_Error_Codes_241_to_255_PTM.py', 'Programming_Error_Codes_256_to_261_PTM.py', 'Programming_Error_Codes_262_PTM.py', 'Programming_Error_Codes_263_to_273_PTM.py', 'Programming_Error_Codes_274_to_278_PTM.py', 'Programming_Error_Codes_279_PTM.py', 'Programming_Error_Codes_280_to_294_PTM.py', 'Programming_Error_Codes_295_PTM.py', 'Programming_Error_Codes_35_PTM.py', 'Programming_Error_Codes_36_to_51_PTM.py', 'Programming_Error_Codes_52_PTM.py', 'Programming_Error_Codes_53_to_65_PTM.py', 'Programming_Error_Codes_66_PTM.py', 'Programming_Error_Codes_67_to_80_PTM.py', 'Programming_Error_Codes_81_PTM.py', 'Programming_Error_Codes_82_to_95_PTM.py', 'Programming_Error_Codes_96_to_101_PTM.py', 'test_rows.json']
GUI.update_test_cases                       -- Function executed successfully  --  | None
=======
GUI.show_tooltip                            -- Begin --                            | ('Filter will be reflected in Test cases list below.',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.get_test_suites                         -- Begin --                            | ()
GUI.get_test_suites                         -- Function executed successfully  --  | ['CG3388_0x10', 'CG3388_0x11', 'CG3388_0x14', 'CG3388_0x19', 'CG3388_0x22', 'CG3388_0x27', 'CG3388_0x28', 'CG3388_0x2A', 'CG3388_0x2C', 'CG3388_0x2E', 'CG3388_0x2F', 'CG3388_0x31', 'CG3388_0x3E', 'CG3388_0x85', 'CG3388_Multiple_Tester', 'CG3388_Scanner', 'CG3388_TransportLayer', 'CG3531_0x2F_DeviceLimitsExceeded', 'CG3531_0x31_DeviceLimitsExceeded', 'CG3531_Automodified_NVRAM', 'CG3531_COMMON_DIDs', 'CG3531_DiagnosticFaultDetection', 'CG3531_NetworkSupervision', 'CG3531_RID_0200_0204_0205_0272', 'CG3531_RID_0209_FF00', 'CG3531_RID_021E', 'CG3531_RID_023A_023B', 'CG3531_RID_02C0', 'CG3531_RID_02C3', 'CG3531_RID_0300', 'CG3531_RID_03BC', 'CG3531_RID_03C2', 'CG3531_RID_FF01', 'CG3531_SecurityAccess', 'CG3687_Comp_Hand', 'CG3687_Diagnostic_Address_Support', 'CG3687_ECU_Proc_Modes', 'CG3687_Gen_Boot_Requirements', 'CG3687_Proc_Modes_Details', 'CG3687_Programming_Error_Codes', 'CG3687_Robustness', 'CG4577_RationalityApplication', 'CG4577_RationalityInfrastructure', 'DPS', '__Examples__']
GUI.show_tooltip                            -- Begin --                            | ('Directory containing report folders to be analyzed',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.show_tooltip                            -- Begin --                            | ('Generated HTML report is going to be saved to this directory',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.show_tooltip                            -- Begin --                            | ('Directory containing binary files',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.show_tooltip                            -- Begin --                            | ('Directory containing binary files',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.show_tooltip                            -- Begin --                            | ('Directory containing binary files',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.show_tooltip                            -- Begin --                            | ('Directory containing binary files',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.update_test_cases                       -- Begin --                            | ()
GUI.get_files                               -- Begin --                            | ()
GUI.get_files                               -- Function executed successfully  --  | ['0-Before_DPS_Flash.py', '1-After_DPS_Flash.py', '2-Clear_SBAT_MEC.py', 'config.ini']
GUI.update_test_cases                       -- Function executed successfully  --  | None
GUI.update_config_window                    -- Begin --                            | ()
GUI.update_config_window                    -- Function executed successfully  --  | None
GUI.browse_cg_file                          -- Begin --                            | ('CG3687',)
